name,title,categories,inserter,bytes
woocommerce-blocks/testimonials-single,Testimonial Single,woo-commerce|reviews,yes,3555
woocommerce-blocks/three-columns-with-images-and-content,Three Columns with Images and Content,woo-commerce|services,yes,6777
blocksy/pattern-1,Blocksy - 主視覺區塊,intro|blocksy,yes,9094
blocksy/pattern-2,Blocksy - 價格表,call-to-action|blocksy,yes,13883
blocksy/pattern-3,Blocksy - 文字卡片,services|blocksy,yes,8128
blocksy/pattern-4,Blocksy - 主視覺區塊,intro|blocksy,yes,12739
blocksy/pattern-5,Blocksy - 團隊成員,about|blocksy,yes,18922
blocksy/pattern-6,Blocksy - 主視覺區塊,intro|blocksy,yes,7173
blocksy/pattern-7,Blocksy - 主視覺區塊,call-to-action|blocksy,yes,9936
blocksy/pattern-8,Blocksy - 主視覺區塊,call-to-action|blocksy,yes,8858
blocksy/pattern-9,Blocksy - 主視覺區塊,about|blocksy,yes,4897
blocksy/pattern-10,Blocksy - 見證,reviews|blocksy,yes,4286
blocksy/pattern-11,Blocksy - 價格方案,call-to-action|blocksy,yes,16530
blocksy/pattern-12,Blocksy - 行動號召,call-to-action|blocksy,yes,6708
blocksy/posts-layout-1,文章 - 版面配置 1,blocksy,yes,1029
blocksy/posts-layout-2,文章 - 版面配置 2,blocksy,yes,1321
blocksy/posts-layout-3,文章 - 版面配置 3,blocksy,yes,1667
blocksy/posts-layout-4,文章 - 版面配置 4,blocksy,yes,2099
blocksy/posts-layout-5,文章 - 版面配置 5,blocksy,yes,1146
blocksy/tax-layout-1,分類法 - 版面配置 1,blocksy,yes,613
blocksy/tax-layout-2,分類法 - 版面配置 2,blocksy,yes,1203
blocksy/tax-layout-3,分類法 - 版面配置 3,blocksy,yes,1175
blocksy/tax-layout-4,分類法 - 版面配置 4,blocksy,yes,675
blocksy/tax-layout-5,分類法 - 版面配置 5,blocksy,yes,1089
woocommerce/order-confirmation-totals-heading,,,no,169
woocommerce/order-confirmation-downloads-heading,,,no,163
woocommerce/order-confirmation-shipping-heading,,,no,163
woocommerce/order-confirmation-billing-heading,,,no,163
woocommerce/order-confirmation-additional-fields-heading,,,no,163
woocommerce/mini-cart-empty-cart-message,迷你購物車中空無一物的訊息,,no,149
woocommerce/default-attribute-filter,,,no,717
woocommerce/cart-heading,,,no,119
woocommerce/cart-cross-sells-message,,,no,150
woocommerce/cart-empty-message,,,no,450
woocommerce/cart-new-in-store-message,,,no,130
woocommerce/checkout-heading,,,no,116
